month,day_of_month,hour,carbon_kg_kwh
1,11,15,0.1689
1,11,16,0.1776
1,11,17,0.1891
1,11,18,0.197
1,11,19,0.1983
1,11,20,0.1935
1,11,21,0.1893
1,11,22,0.1718
1,11,23,0.159
1,12,0,0.1418
1,12,1,0.1354
1,12,2,0.1343
1,12,3,0.1335
1,12,4,0.142
1,12,5,0.1589
1,12,6,0.1749
1,12,7,0.1773
1,12,8,0.1766
1,12,9,0.1779
1,12,10,0.1781
1,12,11,0.1782
1,12,12,0.1826
1,12,13,0.1865
1,12,14,0.1881
1,12,15,0.1839
1,12,16,0.1832
1,12,17,0.186
1,12,18,0.1847
1,12,19,0.1862
1,12,20,0.1853
1,12,21,0.179
1,12,22,0.1656
1,12,23,0.1501
1,13,0,0.1408
1,13,1,0.1396
1,13,2,0.1391
1,13,3,0.1413
1,13,4,0.1471
1,13,5,0.1578
1,13,6,0.1681
1,13,7,0.1766
1,13,8,0.1803
1,13,9,0.1805
1,13,10,0.1773
1,13,11,0.1751
1,13,12,0.178
1,13,13,0.1828
1,13,14,0.1842
1,13,15,0.1902
1,13,16,0.1899
1,13,17,0.197
1,13,18,0.2013
1,13,19,0.1956
1,13,20,0.1969
1,13,21,0.1915
1,13,22,0.182
1,13,23,0.177
1,14,0,0.1612
1,14,1,0.1549
1,14,2,0.1531
1,14,3,0.153
1,14,4,0.1586
1,14,5,0.1629
1,14,6,0.177
1,14,7,0.1764
1,14,8,0.1698
1,14,9,0.1666
1,14,10,0.1751
1,14,11,0.1778
1,14,12,0.1808
1,14,13,0.18
1,14,14,0.1791
1,14,15,0.1792
1,14,16,0.1776
1,14,17,0.1825
1,14,18,0.1838
1,14,19,0.1856
1,14,20,0.184
1,14,21,0.1772
1,14,22,0.165
1,14,23,0.163
1,15,0,0.1505
1,15,1,0.1454
1,15,2,0.1415
1,15,3,0.1418
1,15,4,0.1436
1,15,5,0.1513
1,15,6,0.1661
1,15,7,0.1629
1,15,8,0.1602
1,15,9,0.1697
1,15,10,0.1722
1,15,11,0.1696
1,15,12,0.1694
1,15,13,0.1686
1,15,14,0.1672
1,15,15,0.1679
1,15,16,0.1702
1,15,17,0.171
1,15,18,0.1694
1,15,19,0.1679
1,15,20,0.1625
1,15,21,0.1525
1,15,22,0.1427
1,15,23,0.1428
1,16,0,0.1353
1,16,1,0.1294
1,16,2,0.1318
1,16,3,0.1332
1,16,4,0.129
1,16,5,0.1296
1,16,6,0.1321
1,16,7,0.1449
1,16,8,0.1434
1,16,9,0.1464
1,16,10,0.15
1,16,11,0.1495
1,16,12,0.1522
1,16,13,0.1456
1,16,14,0.1393
1,16,15,0.1389
1,16,16,0.1491
1,16,17,0.1535
1,16,18,0.154
1,16,19,0.1536
1,16,20,0.153
1,16,21,0.1477
1,16,22,0.1382
1,16,23,0.1285
1,17,0,0.1314
1,17,1,0.131
1,17,2,0.1328
1,17,3,0.1302
1,17,4,0.1307
1,17,5,0.134
1,17,6,0.1381
1,17,7,0.1425
1,17,8,0.144
1,17,9,0.1457
1,17,10,0.1456
1,17,11,0.148
1,17,12,0.1494
1,17,13,0.1538
1,17,14,0.1554
1,17,15,0.1588
1,17,16,0.1615
1,17,17,0.1704
1,17,18,0.1694
1,17,19,0.1639
1,17,20,0.1623
1,17,21,0.1613
1,17,22,0.1565
1,17,23,0.144
1,18,0,0.144
1,18,1,0.1431
1,18,2,0.1375
1,18,3,0.1426
1,18,4,0.1438
1,18,5,0.1482
1,18,6,0.1519
1,18,7,0.1577
1,18,8,0.1601
1,18,9,0.1597
1,18,10,0.165
1,18,11,0.164
1,18,12,0.1655
1,18,13,0.1716
1,18,14,0.1695
1,18,15,0.1698
1,18,16,0.167
1,18,17,0.1751
1,18,18,0.1771
1,18,19,0.1769
1,18,20,0.1766
1,18,21,0.1702
1,18,22,0.1553
1,18,23,0.1544
1,19,0,0.1512
1,19,1,0.1529
1,19,2,0.1497
1,19,3,0.1485
1,19,4,0.1455
1,19,5,0.1501
1,19,6,0.157
1,19,7,0.1584
1,19,8,0.1604
1,19,9,0.1616
1,19,10,0.1624
1,19,11,0.1655
1,19,12,0.1644
1,19,13,0.166
1,19,14,0.1685
1,19,15,0.1717
1,19,16,0.1774
1,19,17,0.1776
1,19,18,0.1839
1,19,19,0.1852
1,19,20,0.1776
1,19,21,0.1665
1,19,22,0.1599
1,19,23,0.1479
1,20,0,0.147
1,20,1,0.1432
1,20,2,0.1401
1,20,3,0.1419
1,20,4,0.1514
1,20,5,0.1506
1,20,6,0.1638
1,20,7,0.171
1,20,8,0.1735
1,20,9,0.1718
1,20,10,0.1709
1,20,11,0.1703
1,20,12,0.1745
1,20,13,0.1715
1,20,14,0.1752
1,20,15,0.1785
1,20,16,0.1781
1,20,17,0.1825
1,20,18,0.1817
1,20,19,0.1782
1,20,20,0.1776
1,20,21,0.176
1,20,22,0.1621
1,20,23,0.1504
1,21,0,0.1521
1,21,1,0.1489
1,21,2,0.1513
1,21,3,0.1508
1,21,4,0.1555
1,21,5,0.166
1,21,6,0.1853
1,21,7,0.1878
1,21,8,0.1864
1,21,9,0.1846
1,21,10,0.1809
1,21,11,0.1835
1,21,12,0.1808
1,21,13,0.1799
1,21,14,0.1775
1,21,15,0.1827
1,21,16,0.1849
1,21,17,0.1903
1,21,18,0.1934
1,21,19,0.1939
1,21,20,0.1964
1,21,21,0.1886
1,21,22,0.1766
1,21,23,0.1706
1,22,0,0.1763
1,22,1,0.1705
1,22,2,0.169
1,22,3,0.1698
1,22,4,0.181
1,22,5,0.1905
1,22,6,0.2013
1,22,7,0.203
1,22,8,0.2018
1,22,9,0.2033
1,22,10,0.2024
1,22,11,0.2155
1,22,12,0.2172
1,22,13,0.2179
1,22,14,0.2215
1,22,15,0.2151
1,22,16,0.2102
1,22,17,0.2064
1,22,18,0.2046
1,22,19,0.2055
1,22,20,0.2066
1,22,21,0.2025
1,22,22,0.1895
1,22,23,0.1858
1,23,0,0.1876
1,23,1,0.1852
1,23,2,0.1807
1,23,3,0.1773
1,23,4,0.1794
1,23,5,0.1802
1,23,6,0.1754
1,23,7,0.1745
1,23,8,0.1802
1,23,9,0.1863
1,23,10,0.193
1,23,11,0.2001
1,23,12,0.2048
1,23,13,0.2025
1,23,14,0.2001
1,23,15,0.1959
1,23,16,0.1973
1,23,17,0.2068
1,23,18,0.208
1,23,19,0.2025
1,23,20,0.2021
1,23,21,0.2025
1,23,22,0.1972
1,23,23,0.203
1,24,0,0.2115
1,24,1,0.2089
1,24,2,0.205
1,24,3,0.2022
1,24,4,0.2055
1,24,5,0.2096
1,24,6,0.207
1,24,7,0.1899
1,24,8,0.1969
1,24,9,0.1994
1,24,10,0.2026
1,24,11,0.2091
1,24,12,0.2095
1,24,13,0.2138
1,24,14,0.2104
1,24,15,0.2084
1,24,16,0.2088
1,24,17,0.2106
1,24,18,0.2157
1,24,19,0.2112
1,24,20,0.2155
1,24,21,0.2076
1,24,22,0.2013
1,24,23,0.1896
1,25,0,0.1999
1,25,1,0.1983
1,25,2,0.2026
1,25,3,0.203
1,25,4,0.2056
1,25,5,0.2124
1,25,6,0.2118
1,25,7,0.215
1,25,8,0.218
1,25,9,0.2178
1,25,10,0.2186
1,25,11,0.2186
1,25,12,0.2184
1,25,13,0.2169
1,25,14,0.2164
1,25,15,0.212
1,25,16,0.2161
1,25,17,0.2249
1,25,18,0.2302
1,25,19,0.2283
1,25,20,0.2242
1,25,21,0.2123
1,25,22,0.1985
1,25,23,0.1941
1,26,0,0.1813
1,26,1,0.1801
1,26,2,0.1795
